?s	?name
<http://lod4all.net/resource/financial/fdicCert-57548>	"Heritage Bank"@en
<http://lod4all.net/resource/financial/fdicCert-58220>	"Heritage Bank & Trust"@en
<http://lod4all.net/resource/financial/fdicCert-19254>	"Heritage Bank National Association"@en
<http://lod4all.net/resource/financial/fdicCert-33905>	"Heritage Bank Of Commerce"@en
<http://lod4all.net/resource/financial/fdicCert-57576>	"Heritage Bank Of The Ozarks"@en
<http://lod4all.net/resource/financial/fdicCert-30090>	"Heritage Bank Usa, Inc."@en
<http://lod4all.net/resource/financial/fdicCert-33119>	"Heritage Bank, Inc."@en
<http://lod4all.net/resource/financial/fdicCert-15282>	"Heritage Community Bank"@en
<http://lod4all.net/resource/financial/fdicCert-35076>	"Heritage Community Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57656>	"Heritage Community Bank"@en
<http://lod4all.net/resource/financial/fdicCert-20761>	"Heritage First Bank"@en
<http://lod4all.net/resource/financial/fdicCert-12617>	"Heritage State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-5568>	"Herring Bank"@en
<http://lod4all.net/resource/financial/fdicCert-34488>	"Hiawatha Bank And Trust Company"@en
<http://lod4all.net/resource/financial/fdicCert-22874>	"Hickory Point Bank And Trust, Fsb"@en
<http://lod4all.net/resource/financial/fdicCert-29783>	"High Country Bank"@en
<http://lod4all.net/resource/financial/fdicCert-58594>	"High Desert Bank"@en
<http://lod4all.net/resource/financial/fdicCert-3017>	"High Plains Bank"@en
<http://lod4all.net/resource/financial/fdicCert-418>	"High Plains Bank"@en
<http://lod4all.net/resource/financial/fdicCert-31232>	"Highland Federal Savings And Loan Association"@en
<http://lod4all.net/resource/financial/fdicCert-6198>	"Highland State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57420>	"Highlands Community Bank"@en
<http://lod4all.net/resource/financial/fdicCert-58048>	"Highlands State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-26191>	"Highlands Union Bank"@en
<http://lod4all.net/resource/financial/fdicCert-11902>	"Hill Bank & Trust Co."@en
<http://lod4all.net/resource/financial/fdicCert-14650>	"Hills Bank And Trust Company"@en
<http://lod4all.net/resource/financial/fdicCert-34747>	"Hillsboro Bank"@en
<http://lod4all.net/resource/financial/fdicCert-14084>	"Hillsboro State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-14073>	"Hillsdale County National Bank"@en
<http://lod4all.net/resource/financial/fdicCert-19184>	"Hilltop National Bank"@en
<http://lod4all.net/resource/financial/fdicCert-90211>	"Hingham Institution For Savings"@en
<http://lod4all.net/resource/financial/fdicCert-2805>	"Hnb First Bank"@en
<http://lod4all.net/resource/financial/fdicCert-4540>	"Hnb National Bank"@en
<http://lod4all.net/resource/financial/fdicCert-321>	"Holmes County Bank & Trust Company"@en
<http://lod4all.net/resource/financial/fdicCert-4664>	"Home Bank And Trust Company"@en
<http://lod4all.net/resource/financial/fdicCert-5629>	"Home Bank Of Arkansas"@en
<http://lod4all.net/resource/financial/fdicCert-29881>	"Home Bank Sb"@en
<http://lod4all.net/resource/financial/fdicCert-28094>	"Home Bank, National Association"@en
<http://lod4all.net/resource/financial/fdicCert-9196>	"Home Banking Company"@en
<http://lod4all.net/resource/financial/fdicCert-28554>	"Home City Federal Savings Bank Of Springfield"@en
<http://lod4all.net/resource/financial/fdicCert-8884>	"Home Exchange Bank"@en
<http://lod4all.net/resource/financial/fdicCert-27654>	"Home Federal Bank"@en
<http://lod4all.net/resource/financial/fdicCert-31236>	"Home Federal Bank Corporation"@en
<http://lod4all.net/resource/financial/fdicCert-29683>	"Home Federal Bank Of Tennessee"@en
<http://lod4all.net/resource/financial/fdicCert-31774>	"Home Federal Savings And Loan Association"@en
<http://lod4all.net/resource/financial/fdicCert-29476>	"Home Federal Savings And Loan Association Of Grand Island"@en
<http://lod4all.net/resource/financial/fdicCert-28349>	"Home Federal Savings And Loan Association Of Niles"@en
<http://lod4all.net/resource/financial/fdicCert-29042>	"Home Federal Savings Bank"@en
<http://lod4all.net/resource/financial/fdicCert-27417>	"Home Loan Investment Bank, F.S.b."@en
<http://lod4all.net/resource/financial/fdicCert-6680>	"Home National Bank"@en
<http://lod4all.net/resource/financial/fdicCert-27898>	"Home Savings And Loan Association, F.A."@en
<http://lod4all.net/resource/financial/fdicCert-28246>	"Home Savings Bank"@en
<http://lod4all.net/resource/financial/fdicCert-30248>	"Home Savings Bank"@en
<http://lod4all.net/resource/financial/fdicCert-30176>	"Home Savings Bank Of Wapakoneta"@en
<http://lod4all.net/resource/financial/fdicCert-31723>	"Home Savings Bank, Fsb"@en
<http://lod4all.net/resource/financial/fdicCert-14867>	"Home State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-966>	"Home State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-9745>	"Home State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-58194>	"Homebanc National Association"@en
<http://lod4all.net/resource/financial/fdicCert-14492>	"Homebank"@en
<http://lod4all.net/resource/financial/fdicCert-17094>	"Homebank Texas"@en
<http://lod4all.net/resource/financial/fdicCert-57632>	"Homeland Community Bank"@en
<http://lod4all.net/resource/financial/fdicCert-11466>	"Homepride Bank"@en
<http://lod4all.net/resource/financial/fdicCert-11482>	"Homestead Bank"@en
<http://lod4all.net/resource/financial/fdicCert-28667>	"Homestead Savings Bank"@en
<http://lod4all.net/resource/financial/fdicCert-30219>	"Hometown Bank"@en
<http://lod4all.net/resource/financial/fdicCert-31028>	"Hometown Bank"@en
<http://lod4all.net/resource/financial/fdicCert-58163>	"Hometown Bank"@en
<http://lod4all.net/resource/financial/fdicCert-35455>	"Hometown Bank Of Corbin, Inc."@en
<http://lod4all.net/resource/financial/fdicCert-58470>	"Hometown Bank Of Pennsylvania"@en
<http://lod4all.net/resource/financial/fdicCert-26523>	"Hometown Bank, A Cooperative Bank"@en
<http://lod4all.net/resource/financial/fdicCert-19603>	"Hometown Bank, National Association"@en
<http://lod4all.net/resource/financial/fdicCert-34727>	"Hometown Bank, National Association"@en
<http://lod4all.net/resource/financial/fdicCert-10197>	"Hometown Community Bank"@en
<http://lod4all.net/resource/financial/fdicCert-27677>	"Hometrust Bank, National Association"@en
<http://lod4all.net/resource/financial/fdicCert-8165>	"Honor Bank"@en
<http://lod4all.net/resource/financial/fdicCert-15566>	"Hoosier Heartland State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-109>	"Horatio State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-11236>	"Horicon Bank"@en
<http://lod4all.net/resource/financial/fdicCert-14327>	"Horizon Bank"@en
<http://lod4all.net/resource/financial/fdicCert-4360>	"Horizon Bank, National Association"@en
<http://lod4all.net/resource/financial/fdicCert-3256>	"Horizon Bank, Ssb"@en
<http://lod4all.net/resource/financial/fdicCert-57411>	"Horizon Community Bank"@en
<http://lod4all.net/resource/financial/fdicCert-15598>	"Horizon Financial Bank"@en
<http://lod4all.net/resource/financial/fdicCert-10611>	"Horizon State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-27139>	"Horry County State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-15405>	"Houghton State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57776>	"Howard Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57890>	"Hsbc Bank Usa, National Association"@en
<http://lod4all.net/resource/financial/fdicCert-58188>	"Hsbc Trust Company (Delaware), National Association"@en
<http://lod4all.net/resource/financial/fdicCert-18344>	"Huntington State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-11810>	"Huron Community Bank"@en
<http://lod4all.net/resource/financial/fdicCert-23126>	"Huron National Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57990>	"Huron Valley State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-12354>	"Hustisford State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-281>	"Hyden Citizens Bank"@en
<http://lod4all.net/resource/financial/fdicCert-58371>	"Hyperion Bank"@en
<http://lod4all.net/resource/financial/fdicCert-16400>	"Iab Financial Bank"@en
<http://lod4all.net/resource/financial/fdicCert-28100>	"Iberiabank"@en
<http://lod4all.net/resource/financial/fdicCert-58378>	"Icon Bank Of Texas, National Association"@en
<http://lod4all.net/resource/financial/fdicCert-58095>	"Idaho First Bank"@en
<http://lod4all.net/resource/financial/fdicCert-35103>	"Idaho Trust Bank"@en
<http://lod4all.net/resource/financial/fdicCert-17399>	"Impact Bank"@en
<http://lod4all.net/resource/financial/fdicCert-3342>	"Incommons Bank, N.A."@en
<http://lod4all.net/resource/financial/fdicCert-20989>	"Independence Bank"@en
<http://lod4all.net/resource/financial/fdicCert-22925>	"Independence Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57379>	"Independence Bank"@en
<http://lod4all.net/resource/financial/fdicCert-8136>	"Independence Bank Of Kentucky"@en
<http://lod4all.net/resource/financial/fdicCert-57951>	"Independence National Bank"@en
<http://lod4all.net/resource/financial/fdicCert-10741>	"Independence State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-27811>	"Independent Bank"@en
<http://lod4all.net/resource/financial/fdicCert-34728>	"Independent Bank"@en
<http://lod4all.net/resource/financial/fdicCert-11462>	"Independent Farmers Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57983>	"Indus American Bank"@en
<http://lod4all.net/resource/financial/fdicCert-24387>	"Industrial And Commercial Bank Of China (Usa), National Association"@en
<http://lod4all.net/resource/financial/fdicCert-12506>	"Industry State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-9307>	"Inez Deposit Bank"@en
<http://lod4all.net/resource/financial/fdicCert-27601>	"Inland Northwest Bank"@en
<http://lod4all.net/resource/financial/fdicCert-22020>	"Insouth Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57587>	"Integrity Bank & Trust"@en
<http://lod4all.net/resource/financial/fdicCert-15578>	"Integrity Bank Plus"@en
<http://lod4all.net/resource/financial/fdicCert-58631>	"Integrity Bank, Ssb"@en
<http://lod4all.net/resource/financial/fdicCert-18979>	"Integrity First Bank, National Association"@en
<http://lod4all.net/resource/financial/fdicCert-31823>	"Interamerican Bank, A Fsb"@en
<http://lod4all.net/resource/financial/fdicCert-24516>	"Interaudi Bank"@en
<http://lod4all.net/resource/financial/fdicCert-17128>	"Intercity State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57214>	"Intercontinental Bank"@en
<http://lod4all.net/resource/financial/fdicCert-25258>	"Intercredit Bank, National Association"@en
<http://lod4all.net/resource/financial/fdicCert-11492>	"International Bank"@en
<http://lod4all.net/resource/financial/fdicCert-19629>	"International Bank Of Commerce"@en
<http://lod4all.net/resource/financial/fdicCert-25648>	"International City Bank, National Association"@en
<http://lod4all.net/resource/financial/fdicCert-24823>	"International Finance Bank"@en
<http://lod4all.net/resource/financial/fdicCert-31043>	"Interstate Bank, Ssb"@en
<http://lod4all.net/resource/financial/fdicCert-58692>	"Intracoastal Bank"@en
<http://lod4all.net/resource/financial/fdicCert-4799>	"Intrust Bank, National Association"@en
<http://lod4all.net/resource/financial/fdicCert-58316>	"Investar Bank"@en
<http://lod4all.net/resource/financial/fdicCert-30121>	"Investment Savings Bank"@en
<http://lod4all.net/resource/financial/fdicCert-29093>	"Investors Community Bank"@en
<http://lod4all.net/resource/financial/fdicCert-34295>	"Investors Community Bank"@en
<http://lod4all.net/resource/financial/fdicCert-19080>	"Inwood National Bank"@en
<http://lod4all.net/resource/financial/fdicCert-8354>	"Iowa - Nebraska State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-15311>	"Iowa Falls State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-17347>	"Iowa Prairie Bank"@en
<http://lod4all.net/resource/financial/fdicCert-14690>	"Iowa Savings Bank"@en
<http://lod4all.net/resource/financial/fdicCert-10497>	"Iowa State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-13953>	"Iowa State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-15947>	"Iowa State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-950>	"Iowa State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-14413>	"Iowa State Bank And Trust Company Of Fairfield, Iowa"@en
<http://lod4all.net/resource/financial/fdicCert-11349>	"Iowa State Savings Bank"@en
<http://lod4all.net/resource/financial/fdicCert-8751>	"Iowa State Savings Bank"@en
<http://lod4all.net/resource/financial/fdicCert-18400>	"Iowa Trust & Savings Bank"@en
<http://lod4all.net/resource/financial/fdicCert-15593>	"Ipswich State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-1237>	"Ireland Bank"@en
<http://lod4all.net/resource/financial/fdicCert-11746>	"Iroquois Farmers State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-29675>	"Iroquois Federal Savings And Loan Association"@en
<http://lod4all.net/resource/financial/fdicCert-1005>	"Isabella Bank"@en
<http://lod4all.net/resource/financial/fdicCert-23469>	"Islanders Bank"@en
<http://lod4all.net/resource/financial/fdicCert-19977>	"Israel Discount Bank Of New York"@en
<http://lod4all.net/resource/financial/fdicCert-16666>	"Itasca Bank & Trust Co."@en
<http://lod4all.net/resource/financial/fdicCert-34619>	"Its Bank"@en
<http://lod4all.net/resource/financial/fdicCert-12514>	"Ixonia Bank"@en
<http://lod4all.net/resource/financial/fdicCert-13109>	"Jackson County Bank"@en
<http://lod4all.net/resource/financial/fdicCert-15121>	"Jackson County Bank"@en
<http://lod4all.net/resource/financial/fdicCert-30492>	"Jackson Federal Savings And Loan Association"@en
<http://lod4all.net/resource/financial/fdicCert-31266>	"Jackson Savings Bank, Ssb"@en
<http://lod4all.net/resource/financial/fdicCert-10960>	"Janesville State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-7123>	"Jeff Bank"@en
<http://lod4all.net/resource/financial/fdicCert-58672>	"Jefferson Bank Of Florida"@en
<http://lod4all.net/resource/financial/fdicCert-19762>	"Jefferson Bank Of Missouri"@en
<http://lod4all.net/resource/financial/fdicCert-17452>	"Jefferson County Bank"@en
<http://lod4all.net/resource/financial/fdicCert-9997>	"Jefferson Security Bank"@en
<http://lod4all.net/resource/financial/fdicCert-14359>	"Jersey Shore State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-35237>	"John Deere Financial, F.S.b."@en
<http://lod4all.net/resource/financial/fdicCert-58243>	"John Marshall Bank"@en
<http://lod4all.net/resource/financial/fdicCert-20296>	"Johnson Bank"@en
<http://lod4all.net/resource/financial/fdicCert-16176>	"Johnson City Bank"@en
<http://lod4all.net/resource/financial/fdicCert-22070>	"Johnson County Bank"@en
<http://lod4all.net/resource/financial/fdicCert-15237>	"Johnson State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-58396>	"Jonah Bank Of Wyoming"@en
<http://lod4all.net/resource/financial/fdicCert-8896>	"Jonesburg State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-21761>	"Jpmorgan Chase Bank, Dearborn"@en
<http://lod4all.net/resource/financial/fdicCert-628>	"Jpmorgan Chase Bank, National Association"@en
<http://lod4all.net/resource/financial/fdicCert-15078>	"Junction National Bank"@en
<http://lod4all.net/resource/financial/fdicCert-12308>	"Justin State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-19774>	"Kahoka State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-5892>	"Kalamazoo County State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-13957>	"Kansasland Bank"@en
<http://lod4all.net/resource/financial/fdicCert-13157>	"Kanza Bank"@en
<http://lod4all.net/resource/financial/fdicCert-12874>	"Katahdin Trust Company"@en
<http://lod4all.net/resource/financial/fdicCert-13413>	"Kaw Valley State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-17832>	"Kaw Valley State Bank And Trust Company"@en
<http://lod4all.net/resource/financial/fdicCert-9793>	"Kcb Bank"@en
<http://lod4all.net/resource/financial/fdicCert-9794>	"Kearney Trust Company"@en
<http://lod4all.net/resource/financial/fdicCert-28765>	"Kearny Bank"@en
<http://lod4all.net/resource/financial/fdicCert-16471>	"Kendall State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-29661>	"Kennebec Federal Savings And Loan Association Of Waterville"@en
<http://lod4all.net/resource/financial/fdicCert-13063>	"Kennebunk Savings Bank"@en
<http://lod4all.net/resource/financial/fdicCert-1409>	"Kensington Bank"@en
<http://lod4all.net/resource/financial/fdicCert-13843>	"Kentland Bank"@en
<http://lod4all.net/resource/financial/fdicCert-28722>	"Kentland Federal Savings And Loan Association"@en
<http://lod4all.net/resource/financial/fdicCert-734>	"Kentucky Bank"@en
<http://lod4all.net/resource/financial/fdicCert-267>	"Kentucky Farmers Bank Corporation"@en
<http://lod4all.net/resource/financial/fdicCert-27877>	"Kentucky Federal Savings And Loan Association"@en
<http://lod4all.net/resource/financial/fdicCert-8761>	"Kerndt Brothers Savings Bank"@en
<http://lod4all.net/resource/financial/fdicCert-34644>	"Key Community Bank"@en
<http://lod4all.net/resource/financial/fdicCert-17534>	"Keybank National Association"@en
<http://lod4all.net/resource/financial/fdicCert-29691>	"Keysavings Bank"@en
<http://lod4all.net/resource/financial/fdicCert-17993>	"Keystone Savings Bank"@en
<http://lod4all.net/resource/financial/fdicCert-8946>	"Kindred State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-19447>	"Kingsley State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-6616>	"Kingston National Bank"@en
<http://lod4all.net/resource/financial/fdicCert-29486>	"Kingstree Federal Savings And Loan Association"@en
<http://lod4all.net/resource/financial/fdicCert-20156>	"Kirkpatrick Bank"@en
<http://lod4all.net/resource/financial/fdicCert-21928>	"Kirkwood Bank & Trust Co."@en
<http://lod4all.net/resource/financial/fdicCert-58806>	"Kirkwood Bank Of Nevada"@en
<http://lod4all.net/resource/financial/fdicCert-6161>	"Kitsap Bank"@en
<http://lod4all.net/resource/financial/fdicCert-3286>	"Kleberg Bank, N.A."@en
<http://lod4all.net/resource/financial/fdicCert-1414>	"Kleinbank"@en
<http://lod4all.net/resource/financial/fdicCert-8386>	"Kodabank"@en
<http://lod4all.net/resource/financial/fdicCert-18892>	"Kress National Bank"@en
<http://lod4all.net/resource/financial/fdicCert-29771>	"Ks Bank, Inc."@en
<http://lod4all.net/resource/financial/fdicCert-19899>	"Ks Statebank"@en
<http://lod4all.net/resource/financial/fdicCert-16423>	"La Monte Community Bank"@en
<http://lod4all.net/resource/financial/fdicCert-17068>	"Labette Bank"@en
<http://lod4all.net/resource/financial/fdicCert-35476>	"Lafayette Community Bank"@en
<http://lod4all.net/resource/financial/fdicCert-16396>	"Lafayette State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-58670>	"Lagrange Banking Company"@en
<http://lod4all.net/resource/financial/fdicCert-1390>	"Lake Area Bank"@en
<http://lod4all.net/resource/financial/fdicCert-13102>	"Lake City Bank"@en
<http://lod4all.net/resource/financial/fdicCert-29049>	"Lake City Federal Bank"@en
<http://lod4all.net/resource/financial/fdicCert-17122>	"Lake Country Community Bank"@en
<http://lod4all.net/resource/financial/fdicCert-15443>	"Lake Elmo Bank"@en
<http://lod4all.net/resource/financial/fdicCert-10965>	"Lake Region Bank"@en
<http://lod4all.net/resource/financial/fdicCert-30530>	"Lake Shore Savings Bank"@en
<http://lod4all.net/resource/financial/fdicCert-8172>	"Lake-Osceola State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-58961>	"Lakeside Bank"@en
<http://lod4all.net/resource/financial/fdicCert-21255>	"Lakeside Bank Of Salina"@en
<http://lod4all.net/resource/financial/fdicCert-21693>	"Lakeside National Bank"@en
<http://lod4all.net/resource/financial/fdicCert-22217>	"Lakeside State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57785>	"Lakeview Bank"@en
<http://lod4all.net/resource/financial/fdicCert-1964>	"Lamar Bank And Trust Company"@en
<http://lod4all.net/resource/financial/fdicCert-23597>	"Lamar National Bank"@en
<http://lod4all.net/resource/financial/fdicCert-4471>	"Landmands Bank"@en
<http://lod4all.net/resource/financial/fdicCert-4537>	"Landmark Bank, National Association"@en
<http://lod4all.net/resource/financial/fdicCert-34982>	"Landmark Community Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57112>	"Landmark Community Bank"@en
<http://lod4all.net/resource/financial/fdicCert-5826>	"Landmark National Bank"@en
<http://lod4all.net/resource/financial/fdicCert-11601>	"Laona State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-14913>	"Lapeer County Bank & Trust Co."@en
<http://lod4all.net/resource/financial/fdicCert-22839>	"Latimer State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-15320>	"Laurens State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-29186>	"Lawrenceburg Federal Bank"@en
<http://lod4all.net/resource/financial/fdicCert-11457>	"Lawson Bank"@en
<http://lod4all.net/resource/financial/fdicCert-58148>	"Lca Bank Corporation"@en
<http://lod4all.net/resource/financial/fdicCert-6623>	"Lcnb National Bank"@en
<http://lod4all.net/resource/financial/fdicCert-12259>	"Lea County State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-8283>	"Lead Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57134>	"Leader Bank, National Association"@en
<http://lod4all.net/resource/financial/fdicCert-33418>	"Ledyard National Bank"@en
<http://lod4all.net/resource/financial/fdicCert-33645>	"Lee Bank"@en
<http://lod4all.net/resource/financial/fdicCert-11582>	"Lee Bank And Trust Company"@en
<http://lod4all.net/resource/financial/fdicCert-5819>	"Lee County Bank & Trust, National Association"@en
<http://lod4all.net/resource/financial/fdicCert-12699>	"Legacy Bank"@en
<http://lod4all.net/resource/financial/fdicCert-17676>	"Legacy Bank"@en
<http://lod4all.net/resource/financial/fdicCert-4042>	"Legacy Bank"@en
<http://lod4all.net/resource/financial/fdicCert-22319>	"Legacy Bank & Trust Company"@en
<http://lod4all.net/resource/financial/fdicCert-58247>	"Legacy Bank Of Florida"@en
<http://lod4all.net/resource/financial/fdicCert-57953>	"Legacy National Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57882>	"Legacy State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-58006>	"Legacytexas Bank"@en
<http://lod4all.net/resource/financial/fdicCert-3108>	"Legend Bank, N.A."@en
<http://lod4all.net/resource/financial/fdicCert-12616>	"Legends Bank"@en
<http://lod4all.net/resource/financial/fdicCert-34936>	"Legends Bank"@en
<http://lod4all.net/resource/financial/fdicCert-10118>	"Leighton State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-17685>	"Leonardville State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-58604>	"Level One Bank"@en
<http://lod4all.net/resource/financial/fdicCert-58428>	"Lewis & Clark Bank"@en
<http://lod4all.net/resource/financial/fdicCert-297>	"Lewisburg Banking Company"@en
<http://lod4all.net/resource/financial/fdicCert-17943>	"Liberty Bank"@en
<http://lod4all.net/resource/financial/fdicCert-20429>	"Liberty Bank"@en
<http://lod4all.net/resource/financial/fdicCert-23754>	"Liberty Bank"@en
<http://lod4all.net/resource/financial/fdicCert-26457>	"Liberty Bank"@en
<http://lod4all.net/resource/financial/fdicCert-28463>	"Liberty Bank"@en
<http://lod4all.net/resource/financial/fdicCert-58778>	"Liberty Bay Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57524>	"Liberty Bell Bank"@en
<http://lod4all.net/resource/financial/fdicCert-58852>	"Liberty Capital Bank"@en
<http://lod4all.net/resource/financial/fdicCert-58274>	"Liberty First Bank"@en
<http://lod4all.net/resource/financial/fdicCert-28407>	"Liberty Fsb"@en
<http://lod4all.net/resource/financial/fdicCert-11522>	"Liberty National Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57505>	"Liberty National Bank"@en
<http://lod4all.net/resource/financial/fdicCert-6516>	"Liberty National Bank"@en
<http://lod4all.net/resource/financial/fdicCert-32242>	"Liberty Savings Bank, F.S.b."@en
<http://lod4all.net/resource/financial/fdicCert-17096>	"Liberty State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-34073>	"Libertyville Bank & Trust Company"@en
<http://lod4all.net/resource/financial/fdicCert-31217>	"Lifestore Bank"@en
<http://lod4all.net/resource/financial/fdicCert-58646>	"Lighthouse Bank"@en
<http://lod4all.net/resource/financial/fdicCert-9042>	"Lincoln Community Bank"@en
<http://lod4all.net/resource/financial/fdicCert-29692>	"Lincoln Fsb Of Nebraska"@en
<http://lod4all.net/resource/financial/fdicCert-8390>	"Lincoln State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57971>	"Lincolnway Community Bank"@en
<http://lod4all.net/resource/financial/fdicCert-18209>	"Litchfield Bancorp"@en
<http://lod4all.net/resource/financial/fdicCert-11821>	"Little Horn State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-58665>	"Live Oak Banking Company"@en
<http://lod4all.net/resource/financial/fdicCert-24305>	"Llano National Bank"@en
<http://lod4all.net/resource/financial/fdicCert-4398>	"Lnb Community Bank"@en
<http://lod4all.net/resource/financial/fdicCert-19285>	"Logan Bank & Trust Company"@en
<http://lod4all.net/resource/financial/fdicCert-5632>	"Logan County Bank"@en
<http://lod4all.net/resource/financial/fdicCert-4476>	"Logan State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-29907>	"Logansport Savings Bank, Fsb"@en
<http://lod4all.net/resource/financial/fdicCert-58324>	"Lone Star Bank"@en
<http://lod4all.net/resource/financial/fdicCert-24347>	"Lone Star National Bank"@en
<http://lod4all.net/resource/financial/fdicCert-58112>	"Louisa Community Bank"@en
<http://lod4all.net/resource/financial/fdicCert-21807>	"Lovelady State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-10202>	"Lowry State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-253>	"Luana Savings Bank"@en
<http://lod4all.net/resource/financial/fdicCert-20568>	"Lumbee Guaranty Bank"@en
<http://lod4all.net/resource/financial/fdicCert-34058>	"Lusitania Savings Bank"@en
<http://lod4all.net/resource/financial/fdicCert-8724>	"Lusk State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-32178>	"Luther Burbank Savings"@en
<http://lod4all.net/resource/financial/fdicCert-27727>	"Lyons Federal Bank"@en
<http://lod4all.net/resource/financial/fdicCert-35154>	"M.Y. Safra Bank, Fsb"@en
<http://lod4all.net/resource/financial/fdicCert-10667>	"Mabrey Bank"@en
<http://lod4all.net/resource/financial/fdicCert-34618>	"Macatawa Bank"@en
<http://lod4all.net/resource/financial/fdicCert-19531>	"Machias Savings Bank"@en
<http://lod4all.net/resource/financial/fdicCert-6091>	"Macon Bank And Trust Company"@en
<http://lod4all.net/resource/financial/fdicCert-31445>	"Macon Bank, Inc."@en
<http://lod4all.net/resource/financial/fdicCert-14695>	"Macon-Atlanta State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-31999>	"Madison County Bank"@en
<http://lod4all.net/resource/financial/fdicCert-35056>	"Madison County Community Bank"@en
<http://lod4all.net/resource/financial/fdicCert-22081>	"Magnolia State Bank"@en
<http://lod4all.net/resource/financial/fdicCert-30704>	"Magyar Bank"@en
<http://lod4all.net/resource/financial/fdicCert-22086>	"Main Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57878>	"Main Street Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57162>	"Main Street Bank Corp."@en
<http://lod4all.net/resource/financial/fdicCert-5766>	"Mainsource Bank"@en
<http://lod4all.net/resource/financial/fdicCert-13585>	"Mainstreet Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57742>	"Mainstreet Bank"@en
<http://lod4all.net/resource/financial/fdicCert-57598>	"Mainstreet Community Bank Of Florida"@en
<http://lod4all.net/resource/financial/fdicCert-14230>	"Malvern Trust & Savings Bank"@en
<http://lod4all.net/resource/financial/fdicCert-11823>	"Manhattan Bank"@en
<http://lod4all.net/resource/financial/fdicCert-223>	"Manson State Bank"@en
